body,title,url
"

En poco menos de dos semanas, dos atentados han cimbrado a la cúpula política del país: el primero de ellos el pasado 16 de junio, contra el juez Uriel Villegas Ortíz en Colima, Col. En este fallecieron él y su señora esposa, Verónica Barajas. Este juez, un par de días antes del atentado, había dictado órdenes de aprehensión contra un par de familiares de un líder local del Cártel Jalisco Nueva Generación (CJNG).

El otro atentado, en plena zona residencial de Lomas de Chapultepec, fue el pasado viernes contra el secretario de Seguridad Ciudadana, Omar García Harfuch. En este caso, él también había iniciado varios operativos para limitar la capacidad de acción de los cárteles en la CDMX.

Así que, al parecer, el CJNG está atentando contra los que hacen su trabajo y aplican el Estado de derecho. Los que, a su juicio, no están adoptando la política de “abrazos no balazos”. Los mensajes que se mandan son escalofriantes para el Estado mexicano. Y más aún cuando, hasta ahora, la reacción oficial, y por ella me refiero a la del presidente de la República, ha sido tibia: sencillamente no cambiará su política pública respecto a cómo lidiar (o no lidiar) contra el crimen organizado.

Desde luego, estos temas no son sencillos, pero es difícil ver paralelismos en el México reciente. El último juez federal ejecutado fue hace cuatro años. Y nunca se había visto un atentado con tantos hombres y tanto poderío de fuego en la CDMX.

Si el Estado mexicano en su conjunto no responde pronto y con fuerza, pero cuidando la vigencia de la ley, la señal que va a mandar a todo el crimen organizado es que se puede atentar contra los pocos funcionarios que sí hacen su trabajo.

Más perversa aún es la señal que manda a quienes se dedican a procurar y administrar justicia en nuestro país. ¿Qué juez va a volver a sentenciar a capos, si siente que su vida está en juego? ¿Qué otros policías van a arrestar a narcomenudistas, si les cobran represalias? ¿Quién de la Guardia Nacional se va a enfrentar a poderosos cárteles?

Los temas económicos y los de salud pública están complicados en el país, pero la coyuntura de inseguridad —entre homicidios al alza por decenas de miles y, ahora, los atentados— está generando un vacío de poder en las fuerzas que deben imponer el Estado de derecho y la justicia.

Lo que ha sucedido es algo verdaderamente grave. Esperemos que tanto el gobierno federal, como el de la CDMX, respondan pronto y mucho mejor de lo que lo han hecho hasta ahora.

Cambiando de tema…

Durante las últimas semanas, ha sido tema relevante el boicot publicitario que se ha generado en contra de Facebook por parte de anunciantes. La campaña se llama #StopHateforProfit, luego de que Facebook ha permitido que se siga distribuyendo desde su plataforma información falsa y, sobre todo, información de odio.

Hasta el fin de semana, casi 100 empresas se habían sumado a la campaña organizada por las asociaciones Free Press, Common Sense Media y la NAACP (Asociación Nacional para el Progreso de las Personas de Color). Entre las empresas que dejaron de anunciarse en Facebook destacan: Coca-Cola, Starbucks, Microsoft, Levi’s, Honda, The North Face, PepsiCo, Hershey’s, la distribuidora de bebidas alcohólicas Diageo, Mozilla, Verizon y Unilever.

Atribuido a esto, la plataforma digital registró una caída de más de 8% en sus acciones el viernes pasado, lo que significó una disminución de más de 60 mil millones de dólares en su valor de mercado.

Habrá que ver qué sucede, pero la ambivalencia de Facebook para autorregularse parece que no sólo le va a generar un daño económico y reputacional; también, hay cada vez más voces que piden una fuerte regulación en lo que respecta a sus contenidos y la privacidad de sus usuarios. Veremos qué sucede.
 
Twitter: @JTejado
",Similitudes en atentados contra juez y jefe de la Policía,https://www.eluniversal.com.mx/opinion/javier-tejado-donde/similitudes-en-atentados-contra-juez-y-jefe-de-la-policia
"





Christian Nodal es una de las estrellas del regional mexicano y ahora se estrena como coach de La Voz México 2020.
Es reconocido gracias al éxito “Adiós Amor”, que en YouTube, por ejemplo, tiene más de 925 millones de vistas y sigue sumando. 
Pese a su poca experiencia en reality shows, goza de buena popularidad entre el público femenino.
Este 2020 lanzó un EP, en mayo estrenó “Amor Tóxico”, que en poco tiempo alcanzó millones de vistas.
Edad de Christian Nodal y secretos
Christian Jesús González Nodal nació en Caborca, Sonora, el 11 de enero de 1999 en una familia de músicos.
Tiene 21 años de edad, fue en 2017 cuando saltó a la fama con “Adiós amor”, un cover de Los Dareyes de la Sierra, reviviendo nuevamente el Mariachi fusionado al Norteño. 
Christian participó en su infancia y adolescencia en varios concursos de juegos infantiles, obteniendo los primeros lugares. 
A los ocho años tocaba la trompeta y a los diez aprendió a tocar el piano y a los trece años se inclinó más hacia la ejecución de la guitarra.
Con el exitoso tema “Adiós amor”, logró traspasar fronteras para llegar a países como Guatemala, Colombia, España y Estados Unidos. 
Su primer álbum discográfico “Me Dejé Llevar""; un disco que contiene temas de su autoría y de otros que son del regional mexicano, algo que él trató de transformar incluyendo Banda, Acordeón y Mariachi que, mezclado con su peculiar voz, dieron por resultado “mariacheño”,así decidió llamarle a esta combinación de romántico y bravío que lo está llevando a la fama. 
En 2019 lanzó su segundo álbum, “Ahora”, y se desprendieron los sencillos “No te contaron mal” y “Nada nuevo”, situándose ambas canciones en el primer lugar de la radio de la República Mexicana, Estados Unidos, Centroamérica y Colombia.
Además se contempla un trabajo y colaboración con grandes figuras colombianas como Juanes, Sebastián Yatra, Piso 21 (donde se fusionó un poco el urbano con la ranchera), y próximamente junto a Maluma con la canción “Perdón” que será lanzada este 2020.
Más información de La Voz México
Belinda, edad, estatura y otros datos de la coach de La Voz 
María José, edad, estatura y más de la coach de La Voz México


","Christian Nodal, edad y secretos del coach de La Voz México 2020",http://www.unionyucatan.mx/articulo/2020/06/02/espectaculos/christian-nodal-edad-y-secretos-del-coach-de-la-voz-mexico-2020
,,http://www.eluniversal.com.mx/terminos/guru-del-estilo
"





El gobierno del Estado de México a través de la Secretaría del Medio Ambiente informó que se mantiene el cierre de operaciones de los Centros de Verificación de Emisiones Contaminantes de Vehículos Automotores Autorizados (CVECA)
A través de un comunicado, la dependencia estatal puntualiza “hasta que las autoridades sanitarias correspondientes determinen la apertura respectiva de las actividades, garantizando en todo momento las medidas de prevención e higiene necesarias para contener la propagación del coronavirus Covid-19”.
Asimismo, por esta vez el horario de servicio de los Centros de Verificación, será de 07:00 a 20:00 horas de lunes a sábado, por lo que se deberá contar con cita programada y los Verificentros no podrán prestar servicio sin ella.
Citas verificación Edomex 2020
Las citas podrán agendarse a través del sitio web http://smahologramas.dsinet.com.mx/RegistroCitas.
Una vez reiniciadas las operaciones en los Verificentros, la verificación vehicular deberá realizarse antes del 31 de diciembre de 2020, de acuerdo con la terminación de la placa conforme a lo establecido en el calendario.
Nuevo calendario y horario verificación vehicular Edomex 
Cabe señalar, que los verificentros del Estado de México no reinician actividades en junio como se había establecido en el portal de la dependencia estatal.
“Las actividades de los Centros de Verificación de Emisiones Contaminantes de Vehículos Automotores Autorizados (CVECA) en el Estado de México y Talleres Autorizados para el Programa Integral de Reducción de Emisiones Contaminantes que se encuentran suspendidas, se reanudarán hasta que las autoridades sanitarias correspondientes determinen la reactivación de las actividades gubernamentales, garantizando, en todo momento, las medidas de prevención e higiene correspondiente”, indica el periódico del estado.
Cuando reinicien actividades, el horario de servicio de los CVECA será por única ocasión de 07:00 a 20:00 horas de lunes a sábado de manera obligatoria o el que determine la dirección General de Prevención y Control de la Contaminación Atmosférica (DGPCCA).
Para realizar la verificación vehicular se deberá contar con cita programada, de lo contrario el CVECA no podrá prestar el servicio al usuario.
Para agendar la cita deberá programarla en la siguiente dirección electrónica: http://smahologramas.dsinet.com.mx/RegistroCitas
La verificación vehicular correspondiente al primer semestre del 2020 deberá realizarse, por única ocasión, antes del 31 de diciembre del 2020, conforme al último dígito de las placas de circulación, de acuerdo a lo siguientes términos:



Terminaciòn de placa 
Plazo a partir del reinicio de actvidades de los CEVCA 


7 u 8 
30 dias naturales 



3 0 4

60 dìas naturales 


1 0 2
90 días naturales


9 o 0 
120 dias naturales



Los vehículos con terminación de placa 5 o 6, que no obtuvieron su constancia de verificación vehicular en enero y febrero de 2020, se harán acreedores a la sanción correspondientes.
Te Puede Interesar: 
Verificación vehicular Edomex: Autos verificarán una vez durante 2020
Verificentros del Estado de México: No abrirán a principios de junio
¿Cuándo termina el Hoy No Circula Covid Edomex?
Nuevo calendario Verificación Vehicular Edomex: Cómo es y la multa
Si quieres saber más sobre le verificación vehicular Edomex 2020 revisa la Gaceta del Gobierno a partir de la página 28: 
GACETA DEL GOBIERNO EDOMEX ... by JuanMiranda on Scribd

",Citas para verificar Edomex 2020: Entérate ,http://www.unionedomex.mx/articulo/2020/06/02/gente/citas-para-verificar-edomex-2020-enterate
"
La modelo Emily Ratajkowski presumió su nuevo look durante su regreso a la ciudad de Nueva York, luego de pasar gran parte de la pandemia de coronavirus en California. 

La actriz, de 29 años de edad, optó por un atuendo fresco para un día soleado en la Gran Manzana. Utilizó unos jeans holgados, con corte a la cintura, y una blusa de tirantes delgados, de color gris, con la que se unió a la tendencia braless y dejó ver un poco de su abdomen tonificado. 

Ratajkowski también portó unos tenis oscuros con agujetas blancas, lentes oscuros y unas arracadas de oro escondidas debajo de la cabellera rubia que sorprendió a sus fanáticos. 



Foto: Grosby Group 

La celebridad disfrutó de un paseo por las calles de Nueva York con su esposo Sebastian Bear-McClard y su perro Colombo. 

Emily Ratajkowski y su esposo pasaron el inicio de la pandemia de Covid-19 en la ciudad de Nueva York, pero cuando se convirtió en el foco rojo de la emergencia sanitaria, viajaron a California para aislarse en la residencia que tienen en Los Ángeles. 


Visita: Kylie Jenner remarca su figura con pantalones de cuero y corsé


En cuanto los casos en California aumentaron con cifras récord y Nueva York comenzó con su reapertura, la pareja regresó a su casa. 

Durante sus primeros días en la ciudad, Emra ha causado sensación al presumir los últimos diseños de su marca de ropa Inamorata en cada caminata que realiza. Este fin de semana utilizó un traje, de tonos tierra y tela traslúcida, con el que mostró su ropa interior. 

 




 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 




 

 


Una publicación compartida por Emily Ratajkowski (@emrata) el 27 de Jun de 2020 a las 8:11 PDT





La modelo estrenó su nuevo look rubio tras una colaboración con Karastase, una subsidiaria de L’Oreal de la que es imagen desde el año pasado. 

Durante la cuarentena, la actriz de Gone Girl dedicó gran parte del tiempo del cuidado de su cabello de su piel y de su cabello. También invitó a sus más de 26 millones de seguidores a practicar el autocuidado para relajarse. 

Mira en la galería de arriba más fotos de Emily Ratajkowski.


Lee también: Sofía Vergara presume bikini con ‘throwback’ en Instagram 


 




 


 

 



 




Ver esta publicación en Instagram


 



 

 

 



 

 



 

 

 




 

 


Una publicación compartida por Emily Ratajkowski (@emrata) el 23 de Jun de 2020 a las 6:32 PDT




 

p  
",,https://www.viveusa.mx/showbiz/emily-ratajkowski-arrasa-con-braless-durante-paseo-en-nueva-york
,La lucha contra el cibercrimen necesita de las mujeres,http://www.eluniversal.com.mx/techbit
,,https://www.eluniversal.com.mx/mundo/coronavirus-covid-19/opinion#info
,"Capitalinos ven ""verde"" al semáforo naranja en la CDMX",http://www.eluniversal.com.mx/metropoli
"
La Fiscalía General del Estado de Oaxaca (FGEO) informó que un juez vinculó a proceso a un sujeto, señalado como probable responsable del delito de violación agravada en contra de sus dos hijas de 11 y ocho años de edad.

En un comunicado, señaló que el presunto agresor fue aprehendido por agentes estatales de Investigación el pasado 27 de abril, en inmediaciones de la colonia Lázaro Cárdenas, ciudad de Puerto Escondido, y fue presentado de forma inmediata con la autoridad que lo requería.

El organismo autónomo indicó que de acuerdo con la causa penal 125/2020, el pasado 2 de marzo,

aproximadamente a las 20:00 horas, el imputado presuntamente agredió sexualmente a su hija de 11 años de edad, mientras se encontraba en su domicilio en la colonia centro de la ciudad ya mencionada.

Posteriormente, el sujeto repitió la acción pero esta vez, en contra de su segunda hija de ocho años de edad, esto el pasado 19 de abril.

Violencia contra las mujeres

México registró un total de 976 denuncias por feminicidio en 2019, lo que supone un incremento del 137% respecto a 2015, según datos del Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública.

Por estados, Veracruz es donde se produjeron más asesinatos de mujeres.

Los cinco estados con más violencia feminicida en el país





La FGEO aseguró que ante estos hechos, y tras la denuncia, dio inicio a una exhaustiva investigación, a través de la Vicefiscalía Regional de la Costa que logró identificar, aprehender y presentar ante la autoridad al sospechoso.

En audiencia, el juez de control determinó vincular a proceso al padre de las menores imponiéndole la medida cautelar de prisión preventiva oficiosa, y otorgó dos meses para el cierre de la investigación.

 
",Vinculan a sujeto que presuntamente atacó sexualmente a sus dos hijas en Oaxaca,https://oaxaca.eluniversal.com.mx/estatal/28-04-2020/vinculan-sujeto-que-presuntamente-ataco-sexualmente-sus-dos-hijas-en-oaxaca
,Los koalas podrían extinguirse en el este de Australia para el 2050,http://www.eluniversal.com.mx/ciencia-y-salud
